Temparature,Humidity,Moisture,SoilType,CropType,Nitrogen,Potassium,Phosphorous,WaterNeeded,FertilizerName
31.75,62.4,34.97,Black,Wheat,17,0,15,48.167721,Urea
27.29,57.56,53.09,Black,Pulses,15,11,11,32.002002,20-20
26.71,55.89,69.87,Loamy,Paddy,15,0,40,34.11092625,14-35-14
29.25,56.07,33.6,Black,Oil seeds,21,0,18,48.085884,DAP
29.73,58.67,29.64,Red,Barley,17,0,20,62.013545,17-17-17
31.62,57.88,42.77,Clayey,Oil seeds,10,12,18,38.595912,14-35-14
25.93,54.07,23.84,Loamy,Maize,8,13,12,62.685392,14-35-14
26.47,55.37,59.34,Sandy,Maize,11,1,12,40.39026156,20-20
21.92,53,33.57,Black,Barley,18,0,42,40.2605658,17-17-17
24.35,58.11,34.04,Clayey,Oil seeds,4,0,10,36.7502736,28-28
29.55,45.99,50.06,Red,Sugarcane,9,4,10,61.49119691,10/26/2026
28.29,60.24,33.44,Black,Pulses,33,0,2,45.8025984,DAP
31.31,73.26,70,Loamy,Pulses,11,2,41,22.797,14-35-14
30.05,58.21,23.31,Loamy,Cotton,43,0,0,62.1150655,17-17-17
31.27,62.18,32.06,Sandy,Paddy,21,4,24,99.606834,14-35-14
32.51,61.45,70,Loamy,Ground Nuts,10,1,32,25.2885,Urea
23.98,44.94,20,Sandy,Oil seeds,14,11,13,72.4704,28-28
30.28,69.29,53.16,Sandy,Tobacco,39,1,2,51.20436384,10/26/2026
28.02,54.85,55.71,Sandy,Sugarcane,10,9,18,54.31699026,20-20
28.66,56.26,39.29,Black,Sugarcane,37,0,1,56.24921133,DAP
30.85,70.39,29.35,Black,Millets,22,0,26,48.64570425,10/26/2026
24.51,62.55,65.83,Loamy,Pulses,13,4,5,23.1484665,Urea
22.33,56.84,29.98,Black,Ground Nuts,18,4,23,41.7431232,14-35-14
29.75,55.39,28.42,Sandy,Tobacco,42,1,4,84.32066736,14-35-14
28.27,52.86,22.36,Clayey,Ground Nuts,41,0,2,49.7579232,10/26/2026
33.27,67.2,40.49,Loamy,Paddy,17,0,12,74.036391,10/26/2026
38.53,70.2,28.94,Loamy,Millets,10,0,32,65.346776,17-17-17
25.2,60.02,69.92,Sandy,Oil seeds,8,14,31,25.4079744,20-20
23.66,55.66,31.32,Red,Wheat,38,0,2,52.4983052,20-20
35.01,71.58,39.2,Black,Wheat,9,0,16,46.090656,14-35-14
36.92,69.78,32.64,Clayey,Maize,12,2,31,52.7267136,14-35-14
23.74,47.23,43.64,Red,Tobacco,18,0,19,54.95201448,10/26/2026
30.51,48.99,28.68,Black,Tobacco,6,0,11,66.6464004,14-35-14
27.02,68.83,33.05,Black,Tobacco,0,16,19,50.3430525,Urea
27.77,42.89,59.1,Red,Barley,6,2,13,37.8343405,Urea
39.65,63.55,47.33,Red,Cotton,3,12,30,56.50305925,Urea
37.27,64.08,36.28,Red,Barley,15,4,45,64.8351,20-20
27.93,64.17,62.13,Black,Pulses,7,0,6,25.14473325,20-20
29.95,61.75,36.58,Black,Sugarcane,37,0,0,58.63765635,28-28
24.97,59.24,47.46,Sandy,Paddy,26,0,21,66.5030304,20-20
27.68,61.68,59.47,Clayey,Paddy,18,0,36,36.2435472,17-17-17
23.82,47.74,30.62,Black,Cotton,2,20,12,46.0634634,17-17-17
34.57,69.61,57.23,Clayey,Pulses,38,0,0,28.8560636,DAP
35.1,70.14,56.12,Loamy,Pulses,16,0,44,37.355044,20-20
33.71,59.42,29.32,Black,Barley,16,0,38,55.7940852,14-35-14
24.75,45.31,49.7,Clayey,Cotton,23,0,23,30.922428,10/26/2026
37.36,59.64,53.7,Loamy,Millets,3,12,31,43.9387,10/26/2026
32.22,56.29,48.76,Black,Maize,35,0,2,43.77538242,10/26/2026
32.35,48.81,46.33,Loamy,Paddy,31,3,0,72.69198975,20-20
40,80,59.99,Clayey,Cotton,42,0,0,28.8072,10/26/2026
25.85,62.32,48.82,Red,Cotton,33,3,0,39.7126092,DAP
30.61,66.36,42.09,Red,Barley,8,22,18,49.7122604,DAP
34.51,54.79,54.12,Loamy,Maize,5,6,26,46.241305,28-28
29.66,43.74,43.31,Red,Paddy,35,3,2,81.79941825,20-20
31.75,46.82,37.35,Red,Maize,16,0,15,68.29407585,DAP
25.43,68.65,39.28,Red,Oil seeds,20,0,17,44.4400572,10/26/2026
30.97,58.53,29.79,Loamy,Wheat,10,21,13,58.0461175,17-17-17
28.58,71.66,46.04,Red,Oil seeds,10,12,9,42.3386348,10/26/2026
29.87,63.64,61.4,Black,Wheat,15,16,10,27.069408,20-20
25.09,54.56,34.08,Red,Maize,19,0,21,58.1473728,28-28
29.76,45.13,30.91,Red,Cotton,35,2,0,66.08493045,DAP
31.38,69.36,35.4,Black,Tobacco,35,3,0,54.4748544,Urea
36.7,70.28,23.31,Sandy,Ground Nuts,37,0,0,81.2239128,10/26/2026
26.91,44.27,23.76,Loamy,Barley,18,0,45,62.276644,10/26/2026
30.83,53.08,47.02,Black,Oil seeds,7,0,5,40.5869184,DAP
31.98,55.89,57.6,Red,Barley,37,4,0,40.117396,17-17-17
30.46,48.84,33.31,Red,Paddy,23,1,25,95.1833025,14-35-14
29.24,54.29,47.85,Clayey,Paddy,14,9,32,50.899443,Urea
31.38,67.84,59.74,Loamy,Maize,12,0,34,34.9150824,10/26/2026
29.08,54.19,61.72,Clayey,Maize,41,0,1,27.30788016,14-35-14
40,60.8,50.41,Black,Cotton,12,10,23,44.452476,10/26/2026
23.18,53.55,20,Black,Ground Nuts,19,15,15,50.1012,17-17-17
32.61,54.79,70,Black,Barley,40,4,0,23.71275,Urea
36.12,72.17,33.4,Sandy,Paddy,9,0,37,103.282614,Urea
23.88,57.05,35.25,Loamy,Barley,40,3,0,44.8296625,20-20
30.78,64.7,35.01,Clayey,Pulses,14,0,12,41.1828632,10/26/2026
36.46,65.08,43.87,Red,Paddy,10,8,27,83.7049851,10/26/2026
40,77.61,29.53,Loamy,Sugarcane,7,4,45,83.54465145,10/26/2026
32,57.73,35.48,Black,Wheat,42,0,0,49.4361918,10/26/2026
32.69,69.21,22.19,Black,Sugarcane,4,10,26,73.53570218,20-20
29.63,45.37,21.76,Black,Sugarcane,14,0,11,79.2514476,28-28
34.22,56.39,49.89,Red,Pulses,25,0,19,49.74394645,14-35-14
36.56,76.26,36.26,Sandy,Wheat,7,11,34,65.0071512,10/26/2026
37,62.94,55.83,Loamy,Pulses,35,1,0,40.870501,20-20
37.66,74.6,28.6,Black,Millets,36,3,3,56.561652,DAP
36.42,75.12,46.56,Sandy,Ground Nuts,14,2,37,54.6883584,DAP
29.92,50.41,62.32,Clayey,Ground Nuts,8,9,32,25.5123744,10/26/2026
31.96,49.13,52.38,Loamy,Maize,8,0,38,46.8059361,10/26/2026
38.65,62.79,58.95,Black,Cotton,10,0,43,35.43210225,20-20
24.94,50.42,55.75,Red,Tobacco,35,0,1,43.614747,14-35-14
26.11,52.09,44.94,Black,Pulses,25,4,22,37.7477595,Urea
39.68,75.02,51.69,Clayey,Barley,3,4,31,35.498188,14-35-14
32.74,64.14,68.56,Red,Millets,12,0,39,28.8465144,10/26/2026
25.3,50.31,45.77,Loamy,Tobacco,14,1,36,49.0965882,14-35-14
29.37,61.61,33,Loamy,Oil seeds,4,9,26,52.21645,10/26/2026
35.12,61.28,35.3,Red,Sugarcane,11,0,36,82.898816,Urea
31.57,46.3,28.05,Red,Tobacco,36,0,0,85.4671026,14-35-14
38,61.23,26.32,Black,Wheat,9,4,38,63.2517012,17-17-17
36.29,71,56.12,Black,Barley,38,0,0,34.3896336,DAP
32.76,61.99,68.62,Black,Pulses,13,0,38,23.8715505,DAP
33.01,61.9,32.87,Sandy,Wheat,41,3,1,68.5289892,28-28
27.09,64.13,38,Black,Paddy,28,0,27,60.360255,28-28
30.15,68.23,37.36,Sandy,Wheat,11,0,9,57.2667408,28-28
31.12,54.41,55.18,Clayey,Oil seeds,12,0,31,30.4901496,DAP
31.08,61.81,34.73,Red,Wheat,38,3,0,58.33865235,DAP
34.99,65.23,27.62,Clayey,Maize,1,17,13,55.64661256,10/26/2026
28.29,46.16,41.47,Black,Millets,3,12,16,43.985295,20-20
37.61,61.11,36.72,Loamy,Barley,10,2,42,59.904012,Urea
36.02,69.03,54.45,Sandy,Barley,21,0,22,47.841165,20-20
28.58,41.09,30.84,Red,Tobacco,21,0,22,79.07187288,17-17-17
24.6,52.29,30.92,Black,Tobacco,16,0,39,54.50370552,DAP
29.87,56.39,37.84,Sandy,Cotton,13,4,6,60.8260464,10/26/2026
29.85,47.2,57.02,Sandy,Millets,27,0,20,44.406936,10/26/2026
26.12,63.44,63.43,Loamy,Millets,5,10,36,25.789164,DAP
34.94,57.44,52.37,Sandy,Wheat,5,3,5,52.1034096,DAP
31.59,63.18,56.9,Black,Paddy,16,4,36,47.4731415,10/26/2026
37.33,67.17,37.59,Loamy,Maize,11,0,42,62.52389825,10/26/2026
24.02,45.09,67.89,Loamy,Tobacco,37,1,2,29.0897334,14-35-14
33.56,66.29,26.04,Clayey,Wheat,43,2,2,49.686328,14-35-14
30.78,50.3,52.95,Clayey,Barley,25,0,22,32.524724,20-20
32.39,66.19,63.37,Clayey,Ground Nuts,10,7,26,23.9369724,10/26/2026
31.26,67.75,26.57,Black,Barley,23,2,22,51.97412115,Urea
38.04,69.01,42.8,Red,Ground Nuts,9,8,32,57.61899,10/26/2026
32.73,62.66,34.5,Red,Paddy,12,1,44,90.9234975,17-17-17
27.79,60.14,41.16,Clayey,Paddy,37,0,4,53.3161008,10/26/2026
32.24,55.75,45.85,Black,Pulses,44,0,0,42.20694675,20-20
31.18,60.59,20.77,Black,Pulses,12,0,42,58.51808955,28-28
34.04,65.18,55.33,Black,Ground Nuts,12,7,32,34.3695447,28-28
28.92,49.12,20,Black,Pulses,11,14,31,59.9616,17-17-17
36.08,74.86,38.71,Red,Wheat,8,20,21,57.1241187,10/26/2026
32.57,62.47,37.05,Sandy,Millets,14,3,36,63.381837,Urea
32.53,51.27,44.71,Sandy,Ground Nuts,38,0,4,59.331699,14-35-14
25.19,60.71,52.06,Red,Paddy,26,0,25,55.39047525,14-35-14
28.66,47.45,44.04,Loamy,Wheat,36,0,4,46.779762,20-20
24.59,58.22,64.12,Sandy,Paddy,9,14,12,45.2540088,10/26/2026
25.71,59.93,51.81,Clayey,Tobacco,8,0,37,33.05679792,17-17-17
28.24,54.62,35.02,Clayey,Wheat,10,0,12,41.1557328,DAP
33.95,61,45.29,Clayey,Maize,18,3,17,42.0785552,17-17-17
33.88,59.02,35.32,Clayey,Sugarcane,11,4,27,59.363304,DAP
